ticker,mktshare,ipo_date
002400.SZ,"904,718,923.00",5/6/2010
002401.SZ,"303,240,000.00",5/6/2010
002402.SZ,"332,182,032.00",5/11/2010
002403.SZ,"240,000,000.00",5/11/2010
002404.SZ,"520,650,000.00",5/11/2010
002405.SZ,"709,403,510.00",5/18/2010
002406.SZ,"561,000,000.00",5/18/2010
002407.SZ,"231,120,000.00",5/18/2010
002408.SZ,"806,913,297.00",5/18/2010
002409.SZ,"166,320,000.00",5/25/2010
002410.SZ,"1,128,388,018.00",5/25/2010
002411.SZ,"348,300,000.00",5/25/2010
002412.SZ,"296,000,000.00",5/25/2010
002413.SZ,"317,399,633.00",5/28/2010
002414.SZ,"600,000,000.00",7/16/2010
002415.SZ,"4,069,128,026.00",5/28/2010
002416.SZ,"1,003,884,839.00",5/28/2010
002417.SZ,"270,000,000.00",6/1/2010
002418.SZ,"378,800,000.00",6/1/2010
002419.SZ,"800,200,000.00",6/1/2010
002420.SZ,"401,000,000.00",6/1/2010
002421.SZ,"575,520,000.00",6/3/2010
002422.SZ,"1,440,000,000.00",6/3/2010
002423.SZ,"502,986,577.00",6/3/2010
002424.SZ,"470,400,000.00",6/3/2010
002425.SZ,"434,237,786.00",6/8/2010
002426.SZ,"1,166,647,793.00",6/8/2010
002427.SZ,"398,154,658.00",6/8/2010
002428.SZ,"653,120,000.00",6/8/2010
002429.SZ,"1,601,787,759.00",6/10/2010
002430.SZ,"831,776,000.00",6/10/2010
002431.SZ,"550,798,600.00",6/10/2010
002432.SZ,"372,000,000.00",6/10/2010
002433.SZ,"726,657,000.00",6/18/2010
002434.SZ,"510,000,000.00",6/18/2010
002435.SZ,"198,000,000.00",6/18/2010
002436.SZ,"495,969,168.00",6/18/2010
002437.SZ,"731,890,250.00",6/23/2010
